Total_Trades,Winning_Trades,Losing_Trades,Win_Rate,Profit_Factor,Average_Win,Average_Loss,Largest_Win,Largest_Loss,Average_Trade_Duration,Total_Net_Profit,Max_Drawdown,Sharpe_Ratio,Sortino_Ratio,Expectancy,Ticker,Timeframe
34,11,23,0.3235294117647059,0.17717478052673905,1.0090909090909215,-2.723913043478245,4.400000000000091,-13.800000000000182,1.0,-373.4839499999995,-0.3752210076465066,-1.1053085932244884,-0.16111463218420796,-1.5161764705882206,ADANIPORTS,3min
19,10,9,0.5263157894736842,0.12207192345760123,1.8499999999999546,-16.83888888888896,4.0,-84.65000000000009,1.0,-536.4621000000011,-0.5364621000000043,-0.48917905731678435,-0.03687692292502556,-7.002631578947426,ASIANPAINT,3min
16,8,8,0.5,0.4521008403361249,1.6812499999999773,-3.7187500000000284,7.149999999999864,-9.850000000000136,1.0,-182.22210000000038,-0.18222209999999905,-0.7273524328660379,-0.07486053995945213,-1.0187500000000256,AXISBANK,3min
13,2,11,0.15384615384615385,0.1884889584420119,27.100000000000364,-26.14090909090919,49.79999999999927,-54.95000000000073,1.0,-1834.9672500000006,-1.8349672500000014,-0.9223336668538641,-0.12181485512667023,-17.950000000000028,BAJAJ-AUTO,3min
19,1,18,0.05263157894736842,0.0044336384439364425,1.550000000000182,-19.422222222222242,1.550000000000182,-71.75,1.0,-1669.4980500000001,-1.6694980499999945,-0.8652290704130544,-0.09386658817116257,-18.31842105263159,BAJFINANCE,3min
25,10,15,0.4,0.12901342673672453,1.1050000000000408,-5.709999999999976,1.8500000000001364,-25.350000000000136,1.0,-442.6346999999992,-0.44263469999999505,-0.8878137699350368,-0.09911301224316561,-2.983999999999969,BAJAJFINSV,3min
37,7,30,0.1891891891891892,0.06524064171122523,0.2614285714285529,-0.9350000000000013,0.6499999999999773,-3.2999999999999545,1.0,-112.28561000000016,-0.11228561000000627,-1.0748280426869707,-0.1454683926453025,-0.7086486486486532,BPCL,3min
31,7,24,0.22580645161290322,0.1837217156366085,3.8857142857142923,-6.168750000000036,15.600000000000136,-39.700000000000045,1.0,-442.2482000000009,-0.4422482000000018,-0.6643937808489925,-0.0660634560881964,-3.89838709677422,BHARTIARTL,3min
24,7,17,0.2916666666666667,0.14188034188034404,4.150000000000026,-12.044117647058716,7.949999999999818,-66.25,1.0,-1215.1933999999978,-1.2151934000000038,-0.8893962490691276,-0.09948272352525135,-7.32083333333325,BRITANNIA,3min
19,6,13,0.3157894736842105,0.11719605695509527,0.8916666666666894,-3.511538461538486,1.800000000000182,-16.700000000000045,1.0,-308.2559500000002,-0.3082559500000061,-0.926789814815379,-0.10952874638235147,-2.121052631578957,CIPLA,3min
27,4,23,0.14814814814814814,0.02962962962962782,0.19999999999998863,-1.1739130434782659,0.5,-5.399999999999977,1.0,-122.95255000000017,-0.1229525500000018,-0.9308383262756473,-0.10864377198990552,-0.9703703703703762,COALINDIA,3min
32,10,22,0.3125,0.30889774236387624,11.629999999999928,-17.113636363636342,82.84999999999945,-97.39999999999964,1.0,-1576.5896500000003,-1.5765896499999945,-0.7550453842266404,-0.0931748168451884,-8.131250000000009,DIVISLAB,3min
20,1,19,0.05,0.06828885400314083,4.350000000000136,-3.3526315789474186,4.350000000000136,-16.700000000000045,1.0,-266.7068500000008,-0.2667068500000023,-0.7495973748894741,-0.07267630381965265,-2.967500000000041,DRREDDY,3min
34,5,29,0.14705882352941177,0.12590506838294319,6.260000000000036,-8.572413793103586,14.5,-42.80000000000018,1.0,-1303.3418000000038,-1.3033418000000092,-1.034758871841508,-0.1410402076064316,-6.391176470588347,EICHERMOT,3min
17,6,11,0.35294117647058826,0.6570605187320102,3.800000000000106,-3.154545454545438,9.350000000000364,-9.699999999999818,1.0,-536.0128999999993,-0.5360129000000016,-1.1652116939682657,-0.28308937791391364,-0.6999999999999519,GRASIM,3min
28,7,21,0.25,0.08670520231213646,1.1785714285713962,-4.530952380952375,1.949999999999818,-13.149999999999864,1.0,-425.48940000000016,-0.42548940000000585,-0.9479724459138384,-0.11317865814160119,-3.1035714285714318,HCLTECH,3min
7,2,5,0.2857142857142857,0.13829169087739726,5.9500000000000455,-17.210000000000083,9.200000000000045,-76.0,1.0,-254.2236500000003,-0.2542236499999999,-0.28578904677707717,-0.01754114089022029,-10.592857142857188,HDFCBANK,3min
27,5,22,0.18518518518518517,0.08747514910536576,0.8799999999999727,-2.286363636363619,1.7999999999999545,-12.399999999999977,1.0,-184.26329999999976,-0.184263300000006,-0.7893969711234347,-0.0820005749849341,-1.6999999999999906,HDFCLIFE,3min
23,7,16,0.30434782608695654,0.17651741293532908,6.3357142857144675,-15.703124999999943,11.050000000000182,-56.0,1.0,-1198.9157499999978,-1.1989157500000003,-0.8970204790559557,-0.10256253750622653,-8.995652173912948,HEROMOTOCO,3min
25,6,19,0.24,0.21348314606742325,1.1083333333333674,-1.639473684210519,2.3500000000000227,-5.449999999999932,1.0,-183.82729999999967,-0.18382730000000447,-1.0904345397953046,-0.16192676825035035,-0.9799999999999863,HINDALCO,3min
12,2,10,0.16666666666666666,0.15311004784688728,4.0,-5.225000000000091,6.599999999999909,-19.09999999999991,1.0,-380.7516000000009,-0.38075160000000324,-0.8381691462876733,-0.09578269850027787,-3.687500000000076,HINDUNILVR,3min
17,5,12,0.29411764705882354,0.1419902912621375,1.1700000000000272,-3.433333333333375,1.9500000000000455,-20.65000000000009,1.0,-232.36275000000035,-0.23236275000000023,-0.7193570291423007,-0.06638011404654941,-2.079411764705904,ICICIBANK,3min
15,3,12,0.2,0.02150537634408185,0.1333333333333068,-1.5499999999999925,0.19999999999998863,-4.0499999999999545,1.0,-68.24475,-0.06824474999999802,-0.6852323696488664,-0.05882701873034121,-1.2133333333333325,ITC,3min
37,7,30,0.1891891891891892,0.1274281274281301,1.1714285714285941,-2.144999999999997,3.5499999999999545,-8.799999999999955,1.0,-310.6740999999997,-0.31067410000000384,-1.0619928860776082,-0.14839992127193652,-1.5175675675675608,INDUSINDBK,3min
15,7,8,0.4666666666666667,0.45818815331009904,1.878571428571409,-3.5875000000000057,8.049999999999955,-7.5,1.0,-312.2676000000002,-0.31226760000000653,-1.0020281041231565,-0.17309592334950752,-1.0366666666666788,INFY,3min
20,5,15,0.25,0.10046189376443482,0.8700000000000045,-2.8866666666666636,1.3000000000000682,-10.299999999999955,1.0,-236.9732999999999,-0.23697329999999786,-0.8992320719143122,-0.1017819786755754,-1.9474999999999967,JSWSTEEL,3min
15,4,11,0.26666666666666666,0.12664277180406064,1.3249999999999886,-3.804545454545467,2.349999999999909,-10.5,1.0,-295.13155000000023,-0.2951315500000055,-0.8982995118765181,-0.11032691577864645,-2.436666666666679,KOTAKBANK,3min
16,6,10,0.375,0.33906177426846373,6.083333333333333,-10.764999999999963,11.199999999999818,-21.399999999999636,1.0,-604.5827499999996,-0.6045827500000014,-0.8342576987733544,-0.09433335475070477,-4.446874999999977,LT,3min
33,9,24,0.2727272727272727,0.2712506767731454,5.566666666666657,-7.695833333333326,17.949999999999818,-47.45000000000027,1.0,-813.2217499999999,-0.813221749999997,-0.8770448694222213,-0.10626023146422982,-4.078787878787876,M&M,3min
19,3,16,0.15789473684210525,0.05548331166016606,6.400000000000243,-21.628125000000296,17.399999999999636,-92.05000000000109,1.0,-2143.6271500000043,-2.1436271500000004,-0.9110280870942495,-0.11210772589914197,-17.202631578947578,MARUTI,3min
32,6,26,0.1875,0.06218487394957869,0.30833333333332763,-1.1442307692307692,0.75,-5.050000000000011,1.0,-121.89810000000003,-0.1218981000000058,-0.9571410917844557,-0.11628714580353354,-0.8718750000000011,NTPC,3min
19,3,16,0.15789473684210525,0.05487026797107493,2.1499999999999395,-7.3468749999999545,3.650000000000091,-19.84999999999991,1.0,-464.16394999999943,-0.46416395000000193,-0.8182650066503171,-0.08473343200361678,-5.847368421052603,NESTLEIND,3min
25,9,16,0.36,0.13303269447576008,0.2622222222222206,-1.1087500000000006,0.8199999999999932,-7.25,1.0,-75.46754000000003,-0.07546753999999782,-0.7169808623576742,-0.07218152575520839,-0.615200000000001,ONGC,3min
27,10,17,0.37037037037037035,0.08500000000000216,0.3400000000000091,-2.3529411764705914,0.6999999999999886,-27.25,1.0,-108.55104999999996,-0.10855104999999458,-0.34227787067889315,-0.030081001210834735,-1.3555555555555543,POWERGRID,3min
10,2,8,0.2,0.0181488203266869,0.2500000000001137,-3.4437500000000227,0.4500000000000455,-13.200000000000045,1.0,-186.06094999999996,-0.18606094999999914,-0.7356337897610533,-0.06848078717407666,-2.7049999999999956,RELIANCE,3min
31,12,19,0.3870967741935484,0.2392790553138524,1.6041666666666288,-4.234210526315816,4.75,-15.049999999999955,1.0,-414.55670000000094,-0.414556700000001,-1.0035454918884454,-0.13060524586737954,-1.9741935483871276,SBILIFE,3min
34,12,22,0.35294117647058826,0.39649853462902795,42.84166666666655,-58.93636363636374,220.34999999999854,-159.04999999999927,1.0,-6882.495150000004,-6.882495150000002,-1.0184147426374224,-0.16127144023978768,-23.01470588235305,SHREECEM,3min
20,4,16,0.2,0.20844327176781066,0.9875000000000114,-1.18437500000001,2.0499999999999545,-2.6000000000000227,1.0,-146.7923500000001,-0.14679235000000335,-1.0192563629884221,-0.17378506885506342,-0.7500000000000057,SBIN,3min
