Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-13 10:00:00+0530,2024-05-13 10:15:00+0530,Short,9453.75,9446.4,7.350000000000364,-2.0963999999996368,15 min,ST_Stop,9453.75,9446.4,9446.4,9462.3,9458.396676019736,9480.63459692266,8.84745912478921,8.821125208178618,9442.349999999999
4,2024-05-27 10:00:00+0530,2024-05-27 10:15:00+0530,Long,10303.4,10280.65,-22.75,-33.03065,15 min,ST_Stop,10303.4,10280.65,10280.65,10285.15,10271.715237965756,10231.018155584097,54.5827323499741,70.29110833935603,10387.91
6,2024-05-28 13:00:00+0530,2024-05-28 13:15:00+0530,Short,10256.0,10226.55,29.450000000000728,19.223450000000724,15 min,ST_Stop,10256.0,10226.55,10226.55,10223.05,10249.525063742543,10279.14542556325,9.674260899538687,21.474542458082883,10210.949999999999
11,2024-06-07 09:30:00+0530,2024-06-07 09:45:00+0530,Short,9974.5,10139.8,-165.29999999999927,-175.43979999999925,15 min,ST_Stop,9974.5,10139.8,10139.8,10107.0,10076.263050298558,10033.717098862726,24.540738177347855,31.08917375326461,9877.34
17,2024-07-12 12:30:00+0530,2024-07-12 12:45:00+0530,Short,11509.2,11495.0,14.200000000000728,2.7050000000007266,15 min,ST_Stop,11509.2,11495.0,11495.0,11529.9,11520.431460087297,11567.400830261493,-19.50971947936539,-3.9038551845106158,11491.74
23,2024-08-06 10:45:00+0530,2024-08-06 11:00:00+0530,Short,11464.85,11460.55,4.300000000001091,-7.160549999998908,15 min,ST_Stop,11464.85,11458.75,11460.55,11468.2,11474.979319764492,11501.486932182479,-50.20245104783205,-61.75017025242341,11346.78
27,2024-09-03 11:00:00+0530,2024-09-03 11:15:00+0530,Short,11371.5,11403.5,-32.0,-43.40350000000001,15 min,ST_Stop,11371.5,11402.0,11403.5,11405.85,11396.33563215385,11402.850334707056,44.107978642784694,65.2245128423349,11361.115
30,2024-09-16 09:45:00+0530,2024-09-16 10:00:00+0530,Long,11748.3,11728.35,-19.94999999999891,-31.678349999998908,15 min,ST_Stop,11748.3,11730.0,11728.35,11721.3,11724.116642602172,11691.144935437631,59.483002461308295,65.738477590681,11781.885
33,2024-10-04 12:30:00+0530,2024-10-04 12:45:00+0530,Long,11799.25,11805.95,6.700000000000728,-5.1059499999992735,15 min,ST_Stop,11799.25,11805.95,11805.95,11623.55,11786.202842307763,11742.392347146153,-3.026771786508359,-17.50881879778866,11808.539999999999
40,2024-10-16 11:15:00+0530,2024-10-16 11:30:00+0530,Long,11400.0,11390.0,-10.0,-21.39,15 min,ST_Stop,11400.0,11390.0,11390.0,11372.15,11381.684891952966,11356.651062907487,31.250228206169382,23.47201767001128,11426.76
42,2024-10-21 09:30:00+0530,2024-10-21 09:45:00+0530,Long,11152.4,11067.4,-85.0,-96.06739999999999,15 min,ST_Stop,11152.4,11067.4,11067.4,10970.85,11091.45842876624,11083.605698827361,27.102904585153517,-10.618849835560333,10975.440000000002
