Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
7,2024-05-18 11:45:00+0530,2024-05-18 12:00:00+0530,Short,5064.95,5079.4,-14.449999999999818,-19.529399999999818,15 min,ST_Stop,5064.95,5079.05,5079.4,5076.8,5079.94445713128,5085.800370641227,-4.066229521382561,2.602764040891282,5063.325
16,2024-06-20 13:45:00+0530,2024-06-20 14:00:00+0530,Long,5396.5,5387.6,-8.899999999999636,-14.287599999999635,15 min,ST_Stop,5396.5,5387.95,5387.6,5374.85,5383.4458519980735,5371.183630651421,2.7238531458622024,-20.983844558548157,5402.674999999999
21,2024-07-04 10:45:00+0530,2024-07-04 11:00:00+0530,Short,5438.95,5440.1,-1.1500000000005457,-6.590100000000546,15 min,ST_Stop,5438.95,5440.1,5440.1,5436.4,5443.441687957155,5452.164824122076,17.449418903967732,20.346124252686003,5422.619999999999
23,2024-07-12 09:45:00+0530,2024-07-12 10:00:00+0530,Short,5732.15,5731.95,0.1999999999998181,-5.531950000000182,15 min,ST_Stop,5732.15,5730.35,5731.95,5733.05,5738.993736130776,5752.861343665347,-15.29872152559679,20.08375429500838,5725.835
31,2024-08-02 15:15:00+0530,2024-08-02 15:30:00+0530,Short,5692.3,5709.5,-17.199999999999818,-22.909499999999817,15 min,ST_Stop,5692.3,5709.5,5709.5,5766.0,5715.977183214907,5729.392214918225,-10.472866265069246,-25.161391916694875,5653.875
34,2024-08-05 15:00:00+0530,2024-08-05 15:15:00+0530,Short,5722.85,5718.35,4.5,-1.21835,15 min,ST_Stop,5722.85,5718.35,5718.35,5709.15,5726.301919787442,5739.449721202204,-7.411086311248973,-0.876434179186622,5685.555
42,2024-09-16 12:00:00+0530,2024-09-16 12:15:00+0530,Short,6061.6,6064.4,-2.7999999999992724,-8.864399999999272,15 min,ST_Stop,6061.6,6064.4,6064.4,6041.9,6070.069361071756,6081.670035195377,33.56020892586581,34.437879055212335,5977.83
48,2024-10-09 10:15:00+0530,2024-10-09 10:30:00+0530,Short,6111.85,6113.45,-1.5999999999994543,-7.713449999999455,15 min,ST_Stop,6111.85,6113.45,6113.45,6128.8,6121.379659340179,6134.445099234029,7.846458469260286,4.253170758133537,6108.15
51,2024-10-14 13:45:00+0530,2024-10-14 14:00:00+0530,Short,5956.15,5946.6,9.549999999999272,3.6033999999992723,15 min,ST_Stop,5956.15,5949.0,5946.6,5961.25,5959.539513482181,5975.554388661425,-4.18460392737598,-31.69000249508189,5927.16
53,2024-10-16 13:30:00+0530,2024-10-16 13:45:00+0530,Long,6081.1,6080.45,-0.6500000000005457,-6.730450000000546,15 min,ST_Stop,6081.1,6080.45,6080.45,6084.55,6072.163934781474,6052.118953238939,23.64537962750756,40.31826504766614,6091.420000000001
62,2024-11-26 09:45:00+0530,2024-11-26 10:00:00+0530,Long,4944.65,4950.0,5.350000000000364,0.4000000000003636,15 min,ST_Stop,4944.65,4950.0,4950.0,4950.0,4938.912481287942,4924.509711641084,42.6420563078197,57.918440698716395,4967.565
64,2024-11-28 11:00:00+0530,2024-11-28 11:15:00+0530,Short,4955.4,4953.2,2.199999999999818,-2.7532000000001817,15 min,ST_Stop,4955.4,4953.2,4953.2,4941.75,4962.205261794361,4977.502546704609,-20.09174198044015,0.7231101129915078,4934.969999999999
73,2024-12-13 13:30:00+0530,2024-12-13 13:45:00+0530,Long,4835.0,4837.4,2.399999999999636,-2.4374000000003635,15 min,ST_Stop,4835.0,4837.4,4837.4,4842.0,4832.717220154384,4823.799198088474,-32.25980834604104,-49.860260066784434,4848.57
